province,province_th,district,district_th,subdistrict,subdistrict_th
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Chiang Rak Yai,เชียงรากใหญ่
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Khlong Khwai,คลองควาย
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Krachaeng,กระแชง
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Sam Khok,สามโคก
Pathum Thani,ปทุมธานี,Sam Khok,สามโคก,Thai Ko,ท้ายเกาะ
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Bueng Nam Rak,บึงน้ำรักษ์
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Bueng Sanan,บึงสนั่น
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Bueng Yitho,บึงยี่โถ
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Lam Phak Kut,ลำผักกูด
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Prachathipat,ประชาธิปัตย์
Pathum Thani,ปทุมธานี,Thanyaburi,ธัญบุรี,Rangsit,รังสิต
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Ban Rakat,บ้านระกาศ
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Bang Bo,บางบ่อ
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Bang Phli Noi,บางพลีน้อย
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Bang Phriang,บางเพรียง
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Khlong Dan,คลองด่าน
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Khlong Niyom Yattra,คลองนิยมยาตรา
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Khlong Suan,คลองสวน
Samut Prakan,สมุทรปราการ,Bang Bo,บางบ่อ,Preng,เปร็ง
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Bang Chalong,บางโฉลง
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Bang Kaeo,บางแก้ว
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Bang Phli Yai,บางพลีใหญ่
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Bang Pla,บางปลา
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Nong Prue,หนองปรือ
Samut Prakan,สมุทรปราการ,Bang Phli,บางพลี,Racha Thewa,ราชาเทวะ
Samut Prakan,สมุทรปราการ,Bang Sao Thong,บางเสาธง,Bang Sao Thong,บางเสาธง
Samut Prakan,สมุทรปราการ,Bang Sao Thong,บางเสาธง,Sisa Chorakhe Noi,ศีรษะจรเข้น้อย
Samut Prakan,สมุทรปราการ,Bang Sao Thong,บางเสาธง,Sisa Chorakhe Yai,ศีรษะจรเข้ใหญ่
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Duan,บางด้วน
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Mueang,บางเมือง
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Mueang Mai,บางเมืองใหม่
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Prong,บางโปรง
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Pu,บางปู
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Bang Pu Mai,บางปูใหม่
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Pak Nam,ปากน้ำ
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Phraek Sa,แพรกษา
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Phraek Sa Mai,แพรกษาใหม่
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Samrong Nuea,สำโรงเหนือ
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Thai Ban,ท้ายบ้าน
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Thai Ban Mai,ท้ายบ้านใหม่
Samut Prakan,สมุทรปราการ,Mueang Samut Prakan,เมืองสมุทรปราการ,Thepharak,เทพารักษ์
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Chak,บางจาก
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Hua Suea,บางหัวเสือ
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Kachao,บางกะเจ้า
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Khru,บางครุ
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Ko Bua,บางกอบัว
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Krasop,บางกระสอบ
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Nam Phueng,บางน้ำผึ้ง
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Phueng,บางพึ่ง
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Ya Phraek,บางหญ้าแพรก
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Bang Yo,บางยอ
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Samrong,สำโรง
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Samrong Klang,สำโรงกลาง
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Samrong Tai,สำโรงใต้
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Song Khanong,ทรงคนอง
Samut Prakan,สมุทรปราการ,Phra Pradaeng,พระประแดง,Talat,ตลาด
Samut Prakan,สมุทรปราการ,Phra Samut Chedi,พระสมุทรเจดีย์,Ban Khlong Suan,บ้านคลองสวน
Samut Prakan,สมุทรปราการ,Phra Samut Chedi,พระสมุทรเจดีย์,Laem Fa Pha,แหลมฟ้าผ่า
Samut Prakan,สมุทรปราการ,Phra Samut Chedi,พระสมุทรเจดีย์,Na Kluea,นาเกลือ
Samut Prakan,สมุทรปราการ,Phra Samut Chedi,พระสมุทรเจดีย์,Nai Khlong Bang Pla Kot,ในคลองบางปลากด
Samut Prakan,สมุทรปราการ,Phra Samut Chedi,พระสมุทรเจดีย์,Pak Khlong Bang Pla Kot,ปากคลองบางปลากด
